subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 650155*	TSW (g)	0.9102			Bayer Crop Science		green house in California Bay area		
PI 650156	TSW (g)	0.6941			Bayer Crop Science		green house in California Bay area		
PI 650157A	TSW (g)	0.8465			Bayer Crop Science		green house in California Bay area		
PI 650157B	TSW (g)	0.9095			Bayer Crop Science		green house in California Bay area		
PI 650158A	TSW (g)	0.9518			Bayer Crop Science		green house in California Bay area		
PI 650158B	TSW (g)	0.7851			Bayer Crop Science		green house in California Bay area		
PI 650159	TSW (g)	1.0456			Bayer Crop Science		green house in California Bay area		
PI 650163	TSW (g)	0.8302			Bayer Crop Science		green house in California Bay area		
PI 650164	TSW (g)	0.5916			Bayer Crop Science		green house in California Bay area		
PI 650165	TSW (g)	0.7562			Bayer Crop Science		green house in California Bay area		
PI 650166	TSW (g)	0.6815			Bayer Crop Science		green house in California Bay area		
PI 650167	TSW (g)	0.2006			Bayer Crop Science		green house in California Bay area		
PI 650168	TSW (g)	0.8577			Bayer Crop Science		green house in California Bay area		
Suneson	TSW (g)	0.7845			Bayer Crop Science		green house in California Bay area		
